amount,graph_hops,screen_share,new_beneficiary,beneficiary_age_days,device_change,velocity_1h,velocity_24h,odd_hour,sender_age_days,amount_to_avg_ratio,prior_fraud_reports,is_fraud
11705.035071691957,5,0,0,212.86206712534633,0,0,4,0,237.60340784269044,2.9201493636092577,0,0
2852.1778260087463,1,0,0,203.15314328715593,0,2,3,0,231.10451159667448,2.266558069120177,0,0
18690.95877721339,1,0,0,4.370324707282102,0,0,3,0,436.84208826343786,1.5409816086850427,0,0
22820.49682586078,0,0,1,98.0095468129736,0,1,3,1,871.8408984355992,1.0399407353776082,0,0
1095.794000826535,0,0,0,48.09596642334463,0,2,8,0,185.73257752482735,1.9028753485560819,0,0
2165.7737356730913,5,0,0,105.50190705227018,0,0,4,0,858.5223331573193,0.872504352996672,0,0
9721.098114382765,1,0,0,978.2473994957742,0,2,3,0,1255.7532498222351,0.5285491325750508,0,0
6098.308523732191,0,0,0,6.612591647902037,0,1,7,0,108.5754454161373,0.8267995581139299,0,1
8351.36457876029,0,0,0,64.88425651817262,0,6,4,0,180.0151034826515,0.9983479029987238,0,0
3470.7476767197304,0,0,0,359.88170161727186,0,2,4,0,87.53699743919691,1.9391926759159357,0,0
21400.922682483553,2,0,0,22.111096088094456,0,1,4,0,181.88156954754433,0.8067961671805035,0,0
19235.310830347888,0,0,0,27.785972243560735,0,3,5,0,1085.0201769013554,1.8802564438643925,0,0
9110.233990291097,5,0,0,244.18309141681883,0,1,4,0,1101.5678435915133,0.6872590450447319,0,0
27762.034748600818,1,0,0,217.1744720743367,0,2,6,0,937.7461235066689,0.8101478740104808,0,0
13886.96975614216,3,0,0,609.3775666589605,0,2,2,0,106.37924892184087,1.6805964988548738,0,0
3448.05077102707,0,0,0,84.71714982549761,0,1,2,0,378.6941011206399,1.0834614344795173,0,0
12519.087589557143,0,1,0,39.02213245946226,0,0,4,0,235.54109602175865,0.33083122626370054,0,1
3105.7009311345264,0,0,0,238.58369655716785,0,1,4,0,90.89022594886306,1.8492757574934309,0,0
21379.638130998002,0,0,0,6.8143441428317315,1,0,4,0,253.87999624261906,1.8132337017961653,0,1
8065.889178031185,6,0,0,247.9066536326876,0,1,5,0,1134.8734338748934,0.8545927270203632,0,0
7000.353737966637,3,0,1,59.41532542123052,0,1,5,0,1755.1890466256998,2.26682369957793,0,1
4158.232656738977,0,0,0,462.6111644115555,0,0,6,0,1277.6419146650735,0.7012882674866981,1,0
30683.79205544995,1,0,0,50.73061053193294,0,1,5,0,12.773059929402129,0.8845830096783068,0,0
7226.90023212121,1,0,0,15.057559441650007,1,2,5,0,579.850433021648,1.2310522380751736,0,1
5421.225789063662,1,0,0,1.4746026387085365,1,3,5,1,422.3011669788671,2.774734183661632,0,0
5872.767192688085,0,0,0,482.78608052805765,0,0,1,1,1201.5605433524058,1.1356019914384057,1,0
14864.722798239629,0,0,0,411.13937214205237,0,0,4,0,2517.510696236146,0.570393883845524,0,1
12475.69599269047,0,0,0,604.1952620026277,0,1,4,0,1900.335250368376,2.0445057568693104,0,0
13110.78803820589,4,0,0,192.84600786817407,1,1,4,0,958.9295363583897,0.5026429354675309,0,0
13362.178506171515,0,0,0,512.7743760232726,0,0,7,1,724.7611124672017,1.2186080647890551,0,1
80543.39797268673,2,0,0,73.20372922400915,0,0,4,0,2396.944370269391,1.32205929891216,0,0
5547.405806844875,5,0,0,30.614074861769645,0,1,4,1,848.0328780789763,0.22079244187188965,0,0
4963.99717364215,0,0,1,70.97308935823423,0,2,1,0,55.44443331685596,0.48376331323146987,0,1
3616.854765413364,0,0,1,730.3791980686952,1,1,3,0,255.1311902031983,0.8042497412807619,0,0
16229.726943486703,0,1,0,190.6251737435843,0,0,5,0,1903.6914534321568,0.5792030442812843,0,1
27812.542022681962,2,0,1,1.6275489870950652,0,1,4,1,109.99296341454047,1.201580811830744,0,1
7541.501747610724,1,0,0,151.13641059408644,0,2,4,0,1366.7082793788593,0.8770615857984476,0,0
3518.032423339955,0,0,0,377.2128005557315,0,0,9,1,855.5817879454637,0.38232882702638427,0,0
3576.4149463126946,0,0,0,22.272549800226688,0,0,6,0,1041.151197382931,0.5453089371285467,0,0
16830.43055914214,2,0,0,281.5707154381455,0,2,1,0,17.49222644918823,1.1475363730381023,0,0
18550.245867158865,2,0,0,35.794923047210496,0,1,5,0,1434.8608002074582,1.9510546419452586,0,0
15034.959838204311,0,0,0,40.326241524435574,1,0,5,1,107.68392061355908,1.0123124857779067,0,1
4226.105869595941,3,0,0,660.0363145154247,1,0,3,0,1784.7806307293927,3.95566811597346,0,0
10846.425218145367,0,0,0,148.70839962534225,1,1,6,1,986.3773893800939,1.0346203573056136,0,1
9607.905633726943,0,0,0,0.893645144382158,1,0,3,0,355.61149092318607,2.359004184877829,0,1
10694.067944921215,0,0,1,266.2456212145654,0,0,4,0,1954.2234130590973,0.9369756247822418,0,0
21222.59424321725,2,0,0,82.1826383997495,0,3,4,0,1439.1125698186745,1.7512862656501278,0,1
10749.309174910299,2,0,0,307.63259388842823,1,3,6,0,506.5776110696797,2.0413108211435516,0,0
17338.42964573671,1,0,0,395.0183292776203,0,2,2,0,597.0541250984477,0.7738859316446801,0,0
9125.057368973685,0,0,0,151.2767884266904,0,0,5,0,81.35962765910942,1.391360227909084,0,0
11514.896352202428,0,0,0,552.7921031665473,0,1,1,0,1116.857457901718,2.204509203022447,0,0
16492.715533840023,0,0,0,601.6074220345726,0,0,3,0,338.43642515841066,2.156253394494938,0,0
1840.5281208662566,0,0,0,98.04194108248373,0,1,1,1,13.111564783004356,0.4618778209728017,0,0
6076.39374720371,1,0,1,129.6197461903408,0,1,3,1,723.2911746758421,0.28332179858032536,1,0
5187.100530841418,1,0,1,3.5589009865439185,0,3,3,0,2624.8568501849586,1.316287929835432,0,0
4345.95019949969,0,0,0,68.22129291964883,0,2,3,0,511.85581031015084,0.9605287422348605,0,1
6367.244489047318,0,0,0,9.829360706553736,0,2,4,0,1090.3980417331993,0.7951664898236968,0,0
40843.77979421506,0,0,0,329.92975317441164,1,3,1,1,653.7518950932773,1.171728493073904,0,1
3424.4589622794174,1,0,0,61.52318684944717,0,3,4,0,431.1323716794586,1.75691205505435,0,0
23494.31403266761,1,0,0,134.6062098731942,0,2,7,0,1180.6819465928902,3.0473474282881763,1,0
1452.1611619178134,2,0,0,56.15204610240045,1,0,3,0,60.958067915620546,1.029478964118903,0,0
5980.097558806819,0,1,0,14.910311290255514,0,1,3,0,1033.983816011138,2.5053086022739897,0,1
10084.06930283928,0,0,0,89.88694559110142,0,0,3,1,533.0281536976985,0.44648457359576316,0,0
15730.470245206623,0,0,0,222.79422581691284,0,4,2,0,1736.6600311406378,2.0779316540147494,0,0
17936.792895425853,0,0,0,221.1891153462796,0,0,2,0,2734.089373910292,2.884896062418401,0,0
19552.06212593365,3,0,1,106.89004473561063,0,1,2,0,1228.3981300809457,0.7811788696180051,0,0
5893.822907528074,0,0,0,16.67386390585942,0,1,5,0,1221.399903549769,0.9852418850296603,0,0
5230.9702713175975,0,0,0,143.45340337866475,0,1,5,0,1628.6006674261391,2.1374374126356024,0,0
20924.920954721863,0,0,0,1.1410481619357151,0,1,6,0,183.17418129132025,1.5115579807713626,0,0
6953.1627108207485,0,0,0,111.50172751278149,1,1,2,0,1054.9693597902783,0.9400992019075125,0,0
2226.866686230436,4,0,0,545.0313388284259,0,0,1,0,589.149501102415,1.213196849939972,0,0
2586.0059696403628,6,0,1,135.5660615980759,0,0,3,0,786.6532412741506,0.9067153586311268,0,0
3236.9815111195817,1,0,0,355.35926805101366,0,3,5,0,912.2997399092275,1.9079079469833964,0,0
14326.127166169612,0,0,1,305.04241041755876,0,3,6,0,66.27645324862205,0.5366783124120595,0,0
9871.118659358775,1,0,0,630.0520305806028,0,1,1,1,1050.9932149436956,0.9336482185016277,0,0
17550.38321467377,1,0,0,197.27432126041137,0,1,2,0,967.4252917289652,0.29284136218572115,0,0
5427.349454486964,1,0,0,166.3883770545004,0,1,7,1,188.2977992281869,0.4801323388567181,0,0
10039.555487467416,0,0,1,41.10030560875795,0,0,6,0,400.81503206618703,0.26590709525884143,0,1
16394.33875159283,0,0,0,47.705986047928604,1,6,6,0,120.0138571884708,1.592334701048204,0,0
6142.62574671924,0,0,0,52.54953164545654,0,2,3,0,51.723780446907284,0.9269101631011245,0,0
13731.331093991657,0,0,0,212.302290937046,0,0,6,0,840.0024654138758,1.2285102144841544,0,0
4242.038471864221,1,0,0,297.80688070261937,0,0,5,1,948.7775263530208,0.5592176946121865,0,0
5805.812811774534,4,0,0,554.421535925731,1,4,3,0,453.8790972317126,1.7354123861417097,0,0
5693.022913398065,0,1,0,744.9090657947113,1,2,6,0,463.61495353084194,0.7320957572637022,0,1
2421.6146674392908,3,1,0,163.2993131538026,0,3,3,0,529.8287526897924,0.2188854115950941,0,1
14173.68772092339,0,0,0,494.5939087713673,0,2,1,0,400.9192789173756,0.7491702090976712,0,0
5192.387996466088,0,0,0,114.89002862729905,0,5,6,0,1364.9969764705634,1.589765140799368,0,1
8612.244658839852,2,0,0,107.38426418619201,0,4,2,0,678.6377222228814,1.3425569170974803,0,0
14081.334912292432,0,0,0,7.278069988865938,0,0,3,0,135.49301247192702,1.1839458476430458,0,0
13584.424761459322,4,0,1,333.89984612450405,0,0,7,1,284.451633412402,1.2377571323029921,0,0
17093.88039667257,5,0,0,338.07174823268537,0,0,4,0,809.5118109270826,2.1734702530393015,0,0
7664.937855786119,0,0,0,265.9953153185885,0,2,9,1,2440.5405791811972,1.2797160217359995,0,0
5449.930933540063,0,0,0,119.1129315895979,1,0,1,0,3101.606466152733,0.8098101146108158,0,1
7817.478358803219,0,0,0,0.6909974884624206,0,3,4,0,1975.6061309407717,0.4912280221381032,0,0
1445.3695139065446,4,0,0,115.0940660188182,0,3,2,0,137.09834992898755,0.5416995628971131,1,0
1860.0401387251607,0,0,0,35.52678533847715,0,2,5,0,156.02992758160096,0.6797359565144596,0,0
2119.6088575888325,2,0,0,348.34798151599614,0,0,0,0,1053.025619440531,2.1282431981489514,0,0
2983.082000760668,0,0,0,1014.0560014912592,0,0,5,0,1060.2549432651256,3.3580300937135523,2,1
12933.606793383215,1,0,1,152.30762408030415,0,0,3,0,793.5867254678739,3.521790867089079,0,1
3284.8242684734746,0,0,0,90.86463322611372,0,1,1,0,841.916448038078,1.089140057519592,0,0
5714.435297365151,3,0,0,292.0406268137371,0,0,5,1,200.84076612089743,1.4652901267941902,0,0
33256.68754901094,2,0,0,77.27678500795663,0,0,6,0,266.31278119222014,0.41020693667265357,0,0
5847.352495197073,0,0,0,446.76323368059974,0,2,2,0,959.6513126171395,0.7777223126910611,0,0
